Option ID,Option Group,Description,Cost
1,Four Way,PB Knob,
2,Four Way,Antique knob,
3,Four Way,PB Lever,
4,Gate,Single Gate,
5,Gate,8' Gate,
6,Yale,Std. PB Pass. Knob & DB,
7,Other,Double Door Tube Frame,
9,Other,Single Door Tube Frame,
10,Four Way,Antique  lever,
11,Yale,Atq. Pass. Knob & DB,
12,Other,,
13,Yale,Antique Entry Knob & Thumbturn,0.00
14,Yale,PB Entry Knob & Thumbturn,0.00
15,Yale,PB Lido Lever,0.00
16,Yale,PB Delta Lever,0.00
17,Yale,PB Lido Lever Entry,0.00
18,Yale,Single Key DB w/Thumbturn inside,0.00
19,Yale,Antique Delta Lever,0.00
20,Yale,Antique Marquis Lever,0.00
21,Yale,Antique Marquis Lever Entry,0.00
22,Yale,PB Single Key Db & Passage Knob,0.00
23,Yale,Antique Single Key DB & Passage Knob,0.00
24,Slim Line,Straight Lever,0.00
25,Slim Line,Solid Brass Curved Lever,0.00
26,Yale,PB Schlage Keyway,0.00
27,Yale,Antique Schlage DB,0.00
28,Other,CLOSER,0.00
29,Other,THRESHOLD,0.00
30,Other,KEYING  IN  BOX,0.00
31,Other,KEYING CUSTOMER TO BRING IN,0.00
32,Other,"11"" MAG SLOT",0.00
33,Yale,PB Saxton Curved Lever,0.00
35,Yale,Antique Saxton Curved Lever,0.00
36,Other,Brass Slidebolts for French Set,0.00
37,Other,Extra Screen,0.00
38,Other,Dog Door,0.00
39,Four Way,Arrow cylinder,0.00
40,Four Way,Yale cylinder,0.00
41,Four Way,Dexter cylinder,0.00
42,Four Way,Westlock cylinder,0.00
43,Four Way,Antique Schlage cylinder,0.00
44,Gate,5' Gate,0.00
45,Gate,6' Gate,0.00
46,Yale,PB Delta Lever inside Key Knob outside,0.00
47,Yale,Atq Delta Lever inside Key Knob outside,0.00
48,Gate,Std Kwikset DB only,0.00
49,Gate,Kwikset DB and Knob,0.00
50,Gate,Four way,0.00
51,Other,,0.00
52,Other,Round Top,0.00
54,Four Way,Reverse Lock,0.00
55,Other,Lath Build Out,0.00
56,Other,Self-Storing Top Panel,0.00
57,Four Way,Weiser Cylinders,0.00
58,Other,Side Tube,0.00
59,Other,Sill Tube,0.00
60,Other,Header Tube,0.00
62,Other,Extra Screen - CENTER,0.00
63,Yale,Schlage Compatible Dead Bolt,0.00
64,Other,Straight Bar in Center//No Casting.,0.00
65,Yale,PB Saxton Lever inside Key Knob outside,0.00
66,Yale,Atq Saxton Lever inside Key Knob outside,0.00
67,Other,U-CHANNEL SILL EXTENSION,0.00
68,Other,Wood Filler,0.00
69,Other,Steel Z-Bar,0.00
70,Four Way,PB Schlage cylinder,0.00
71,Yale,BN Double Key DB,0.00
72,Yale,BN Single Key DB,0.00
73,Yale,BN Knob (Passage),0.00
74,Yale,BN Entry Knob,0.00
75,Yale,BN Saxton Lever (Passage),0.00
76,Yale,BN Entry Saxton Lever,0.00
77,Yale,BN Delta Lever (Passage),0.00
78,Yale,BN Entry Delta Lever,0.00
79,Four Way,BN Lever,0.00
80,Gate,PB Gate Hardware,0.00
81,Gate,Ant. Gate Hardware,0.00
82,Other,Titan Cylinder,0.00
83,Four Way,BN Knob,0.00
84,Four Way,BN Schlage Cylinder,0.00
85,Other,Baldwin Cylinder,0.00
86,Other,Solid Pickets,0.00
87,Other,Tinted Glass,0.00
88,Other,Arch Top Door,0.00
89,Other,Custom Hardware,0.00
90,Other,No DB - plug bore hole!,0.00
91,Other,Shear Weave Screen,0.00
92,Yale,ORB Pass. Knob & DB,0.00
93,Yale,ORB Saxton Lever,0.00
95,Gate,BN Gate Hardware,0.00
96,Yale,ORB Entry Knob & Thumbturn,0.00
97,Yale,BN Delta Lever inside Key Knob outside,0.00
98,Yale,ORB Schlage cylinder,0.00
101,Marks,Antique Marks Lock,0.00
102,Marks,Polished Brass Marks Lock,0.00
103,Marks,Brushed Nickel Marks Lock,0.00
104,Yale,BN Saxton Lever inside Key Knob outside,0.00
105,Yale,ORB Entry Lever & Thumbturn,0.00
106,Other,wreath hook,0.00
107,Four Way,Black Lever,0.00
108,Four Way,Black Knob,0.00
109,Four Way,Black Schlage Cylinder,0.00
112,Other,Black Marks Lock,0.00
113,Other,Address Panel,0.00
114,Four Way,ORB lever,0.00
115,Four Way,ORB knob,0.00
117,,ORB Marks Lever,0.00
118,Slim Line,,0.00
119,Yale,ORB Delta Lever,0.00
